time,avg
0,0.099
5,0.097
10,0.095
15,0.092
20,0.091
25,0.091
30,0.09
35,0.091
40,0.09
45,0.091
50,0.09
55,0.091
60,0.091
65,0.091
70,0.091
75,0.091
80,0.091
85,0.091
90,0.091
95,0.091
100,0.091
105,0.091
110,0.091
115,0.091
120,0.091
125,0.091
130,0.091
135,0.091
140,0.091
145,0.091
150,0.091
155,0.091
160,0.091
165,0.091
170,0.091
175,0.091
180,0.091
185,0.091
190,0.091
195,0.091
200,0.091
205,0.091
210,0.091
215,0.091
220,0.091
225,0.091
230,0.091
235,0.091
240,0.091
245,0.091
250,0.091
255,0.091
260,0.091
265,0.091
270,0.091
275,0.091
280,0.091
285,0.091
290,0.091
295,0.091
300,0.091
305,0.091
310,0.091
315,0.091
320,0.091
325,0.091
330,0.091
335,0.091
340,0.091
345,0.091
350,0.091
355,0.091
360,0.091
365,0.091
370,0.091
375,0.091
380,0.091
385,0.091
390,0.091
395,0.091
400,0.091
405,0.091
410,0.091
415,0.091
420,0.091
425,0.091
430,0.091
435,0.091
440,0.09
445,0.091
450,0.091
455,0.091
460,0.091
465,0.091
470,0.091
475,0.091
480,0.091
485,0.091
490,0.091
495,0.09
500,0.091
505,0.091
510,0.091
515,0.091
520,0.091
525,0.09
530,0.091
535,0.09
540,0.09
545,0.091
550,0.09
555,0.09
560,0.09
565,0.09
570,0.091
575,0.09
580,0.09
585,0.09
590,0.09
595,0.09
600,0.09
605,0.09
610,0.09
615,0.09
620,0.09
625,0.09
630,0.09
635,0.09
640,0.09
645,0.09
650,0.09
655,0.09
660,0.09
665,0.09
670,0.09
675,0.09
680,0.09
685,0.09
690,0.09
695,0.09
700,0.09
705,0.09
710,0.09
715,0.09
720,0.09
725,0.09
730,0.09
735,0.09
740,0.09
745,0.09
750,0.09
755,0.09
760,0.09
765,0.09
770,0.09
775,0.09
780,0.09
785,0.09
790,0.09
795,0.09
800,0.09
805,0.09
810,0.09
815,0.09
820,0.09
825,0.09
830,0.09
835,0.09
840,0.09
845,0.09
850,0.09
855,0.09
860,0.09
865,0.09
870,0.09
875,0.09
880,0.09
885,0.09
890,0.09
895,0.09
900,0.09
905,0.09
910,0.09
915,0.09
920,0.09
925,0.09
930,0.09
935,0.09
940,0.09
945,0.09
950,0.09
955,0.09
960,0.09
965,0.09
970,0.09
975,0.09
980,0.09
985,0.09
990,0.09
995,0.09
1000,0.09
1005,0.09
1010,0.09
1015,0.09
1020,0.09
1025,0.09
1030,0.09
1035,0.09
1040,0.09
1045,0.09
1050,0.09
1055,0.09
1060,0.09
1065,0.09
1070,0.09
1075,0.09
1080,0.09
1085,0.09
1090,0.09
1095,0.09
1100,0.09
1105,0.09
1110,0.09
1115,0.09
1120,0.09
1125,0.09
1130,0.09
1135,0.09
1140,0.09
1145,0.09
1150,0.09
1155,0.09
1160,0.09
1165,0.09
1170,0.09
1175,0.09
1180,0.09
1185,0.09
1190,0.09
1195,0.09
1200,0.09
1205,0.09
1210,0.09
1215,0.09
1220,0.09
1225,0.09
1230,0.09
1235,0.09
1240,0.09
1245,0.09
1250,0.09
1255,0.09
1260,0.09
1265,0.09
1270,0.09
1275,0.09
1280,0.09
