time,avg
0,0.646
5,0.657
10,0.675
15,0.701
20,0.71
25,0.718
30,0.722
35,0.734
40,0.737
45,0.737
50,0.741
55,0.744
60,0.742
65,0.746
70,0.744
75,0.748
80,0.746
85,0.75
90,0.753
95,0.753
100,0.753
105,0.757
110,0.756
115,0.754
120,0.759
125,0.758
130,0.759
135,0.762
140,0.759
145,0.76
150,0.761
155,0.759
160,0.763
165,0.76
170,0.761
175,0.761
180,0.763
185,0.762
190,0.763
195,0.763
200,0.765
205,0.764
210,0.766
215,0.765
220,0.764
225,0.766
230,0.767
235,0.766
240,0.766
245,0.767
250,0.764
255,0.766
260,0.766
265,0.767
270,0.765
275,0.766
280,0.765
285,0.765
290,0.766
295,0.766
300,0.766
305,0.765
310,0.766
315,0.765
320,0.766
325,0.765
330,0.767
335,0.768
340,0.767
345,0.767
350,0.767
355,0.766
360,0.768
365,0.768
370,0.767
375,0.768
380,0.768
385,0.767
390,0.767
395,0.767
400,0.768
405,0.768
410,0.768
415,0.768
420,0.768
425,0.767
430,0.768
435,0.768
440,0.768
445,0.768
450,0.768
455,0.769
460,0.769
465,0.769
470,0.768
475,0.769
480,0.769
485,0.77
490,0.769
495,0.769
500,0.769
505,0.771
510,0.77
515,0.769
520,0.77
525,0.77
530,0.77
535,0.77
540,0.77
545,0.771
550,0.771
555,0.771
560,0.771
565,0.771
570,0.772
575,0.771
580,0.772
585,0.771
590,0.772
595,0.773
600,0.772
605,0.771
610,0.772
615,0.772
620,0.773
625,0.773
630,0.773
635,0.773
640,0.773
645,0.773
650,0.772
655,0.772
660,0.772
665,0.773
670,0.773
675,0.772
680,0.772
685,0.773
690,0.773
695,0.773
700,0.773
705,0.774
710,0.773
715,0.773
720,0.772
725,0.773
730,0.773
735,0.773
740,0.773
745,0.773
750,0.773
755,0.774
760,0.774
765,0.774
770,0.774
775,0.774
780,0.773
785,0.774
790,0.774
795,0.774
800,0.774
805,0.774
810,0.775
815,0.774
820,0.774
825,0.773
830,0.775
835,0.775
840,0.775
845,0.774
850,0.775
855,0.775
860,0.775
865,0.775
870,0.775
875,0.774
880,0.774
885,0.775
890,0.775
895,0.774
900,0.775
905,0.774
910,0.775
915,0.775
920,0.775
925,0.775
930,0.774
935,0.775
940,0.775
945,0.775
950,0.775
955,0.775
960,0.775
965,0.775
970,0.774
975,0.775
980,0.774
985,0.775
990,0.775
995,0.775
1000,0.775
1005,0.775
1010,0.775
1015,0.775
1020,0.775
1025,0.775
1030,0.775
1035,0.774
1040,0.775
1045,0.775
1050,0.775
1055,0.775
1060,0.775
1065,0.775
1070,0.775
1075,0.775
1080,0.775
1085,0.775
1090,0.775
1095,0.775
1100,0.776
1105,0.775
1110,0.776
1115,0.775
1120,0.775
1125,0.776
1130,0.775
1135,0.776
1140,0.776
1145,0.776
1150,0.776
1155,0.776
1160,0.776
1165,0.776
1170,0.776
1175,0.776
1180,0.776
1185,0.777
1190,0.776
1195,0.776
1200,0.776
1205,0.776
1210,0.776
1215,0.777
1220,0.776
1225,0.777
1230,0.776
1235,0.777
1240,0.777
1245,0.777
1250,0.777
1255,0.777
1260,0.777
