time,avg
0,9.732
5,11.656
10,13.162
15,14.106
20,14.608
25,15.054
30,15.291
35,15.555
40,15.735
45,15.828
50,15.921
55,16.054
60,16.209
65,16.359
70,16.492
75,16.534
80,16.579
85,16.714
90,16.666
95,16.77
100,16.778
105,16.778
110,16.839
115,16.85
120,16.88
125,16.932
130,16.946
135,16.915
140,16.978
145,17.011
150,17.07
155,17.099
160,17.113
165,17.116
170,17.153
175,17.153
180,17.162
185,17.181
190,17.192
195,17.209
200,17.227
205,17.211
210,17.225
215,17.246
220,17.269
225,17.262
230,17.281
235,17.281
240,17.286
245,17.255
250,17.245
255,17.255
260,17.246
265,17.255
270,17.261
275,17.268
280,17.269
285,17.281
290,17.267
295,17.271
300,17.271
305,17.266
310,17.245
315,17.248
320,17.252
325,17.251
330,17.253
335,17.245
340,17.263
345,17.275
350,17.265
355,17.263
360,17.268
365,17.265
370,17.269
375,17.259
380,17.258
385,17.259
390,17.266
395,17.288
400,17.279
405,17.289
410,17.278
415,17.294
420,17.288
425,17.305
430,17.304
435,17.303
440,17.307
445,17.317
450,17.306
455,17.323
460,17.325
465,17.337
470,17.343
475,17.348
480,17.359
485,17.362
490,17.367
495,17.361
500,17.376
505,17.378
510,17.375
515,17.378
520,17.382
525,17.375
530,17.386
535,17.387
540,17.381
545,17.387
550,17.386
555,17.39
560,17.39
565,17.397
570,17.413
575,17.406
580,17.406
585,17.403
590,17.405
595,17.407
600,17.415
605,17.419
610,17.419
615,17.425
620,17.42
625,17.411
630,17.409
635,17.415
640,17.418
645,17.416
650,17.415
655,17.421
660,17.413
665,17.412
670,17.411
675,17.402
680,17.405
685,17.4
690,17.399
695,17.406
700,17.403
705,17.415
710,17.416
715,17.411
720,17.409
725,17.412
730,17.419
735,17.419
740,17.419
745,17.421
750,17.423
755,17.419
760,17.421
765,17.424
770,17.425
775,17.424
780,17.42
785,17.418
790,17.42
795,17.416
800,17.42
805,17.422
810,17.42
815,17.426
820,17.425
825,17.425
830,17.427
835,17.42
840,17.416
845,17.414
850,17.412
855,17.416
860,17.421
865,17.408
870,17.416
875,17.41
880,17.414
885,17.407
890,17.405
895,17.41
900,17.405
905,17.407
910,17.41
915,17.405
920,17.406
925,17.404
930,17.402
935,17.407
940,17.412
945,17.413
950,17.409
955,17.412
960,17.415
965,17.412
970,17.41
975,17.406
980,17.419
985,17.418
990,17.422
995,17.427
1000,17.431
1005,17.429
1010,17.429
1015,17.426
1020,17.424
1025,17.425
1030,17.426
1035,17.427
1040,17.426
1045,17.422
1050,17.421
1055,17.422
1060,17.416
1065,17.419
1070,17.419
1075,17.414
1080,17.419
1085,17.415
1090,17.417
1095,17.414
1100,17.413
1105,17.422
1110,17.414
1115,17.412
1120,17.412
1125,17.413
1130,17.407
1135,17.409
1140,17.409
1145,17.406
1150,17.409
1155,17.41
1160,17.406
1165,17.411
1170,17.413
1175,17.413
1180,17.414
1185,17.41
1190,17.413
1195,17.412
1200,17.415
1205,17.413
1210,17.414
1215,17.408
1220,17.408
1225,17.41
1230,17.411
1235,17.409
1240,17.407
1245,17.406
1250,17.41
1255,17.405
1260,17.405
1265,17.404
1270,17.402
1275,17.399
1280,17.404
1285,17.407
1290,17.407
